title,url,year
Iron Danger,https://www.mobygames.com/game/143770/iron-danger/,2020
Dragon Ball Z: Kakarot,https://www.mobygames.com/game/140613/dragon-ball-z-kakarot/,2020
"Cook, Serve, Delicious! 3?!",https://www.mobygames.com/game/140621/cook-serve-delicious-3/,2020
Carto,https://www.mobygames.com/game/152095/carto/,2020
Colt Canyon,https://www.mobygames.com/game/146574/colt-canyon/,2020
Task Force Kampas,https://www.mobygames.com/game/145283/task-force-kampas/,2020
Serious Sam 4,https://www.mobygames.com/game/149246/serious-sam-4/,2020
Ride 4,https://www.mobygames.com/game/151139/ride-4/,2020
Ageless,https://www.mobygames.com/game/148503/ageless/,2020
Super Meat Boy Forever,https://www.mobygames.com/game/155969/super-meat-boy-forever/,2020
Luna: The Shadow Dust,https://www.mobygames.com/game/142367/luna-the-shadow-dust/,2020
Mafia II: Definitive Edition,https://www.mobygames.com/game/145747/mafia-ii-definitive-edition/,2020
Watch Dogs: Legion,https://www.mobygames.com/game/152206/watch-dogs-legion/,2020
Synergia,https://www.mobygames.com/game/148617/synergia/,2020
Rock of Ages III: Make & Break,https://www.mobygames.com/game/146930/rock-of-ages-iii-make-break/,2020
Minecraft Dungeons,https://www.mobygames.com/game/145918/minecraft-dungeons/,2020
Sludge Life,https://www.mobygames.com/game/146094/sludge-life/,2020
Relicta,https://www.mobygames.com/game/148966/relicta/,2020
Wallachia: Reign of Dracula,https://www.mobygames.com/game/143100/wallachia-reign-of-dracula/,2020
Drake Hollow,https://www.mobygames.com/game/149874/drake-hollow/,2020
Samurai Jack: Battle Through Time,https://www.mobygames.com/game/149570/samurai-jack-battle-through-time/,2020
Biped,https://www.mobygames.com/game/143832/biped/,2020
Beautiful Desolation,https://www.mobygames.com/game/141677/beautiful-desolation/,2020
Dustoff Z,https://www.mobygames.com/game/151590/dustoff-z/,2020
One Piece: Pirate Warriors 4,https://www.mobygames.com/game/143540/one-piece-pirate-warriors-4/,2020
Before We Leave,https://www.mobygames.com/game/145513/before-we-leave/,2020
Raji: An Ancient Epic,https://www.mobygames.com/game/149502/raji-an-ancient-epic/,2020
Medieval Dynasty,https://www.mobygames.com/game/150538/medieval-dynasty/,2020
Infinite: Beyond the Mind,https://www.mobygames.com/game/145288/infinite-beyond-the-mind/,2020
9 Monkeys of Shaolin,https://www.mobygames.com/game/151492/9-monkeys-of-shaolin/,2020
Serious Sam Collection,https://www.mobygames.com/game/143192/serious-sam-collection/,2020
Fight Crab,https://www.mobygames.com/game/148645/fight-crab/,2020
Metal Max Xeno: Reborn,https://www.mobygames.com/game/185803/metal-max-xeno-reborn/,2020
The Survivalists,https://www.mobygames.com/game/144503/the-survivalists/,2020
Milk inside a bag of milk inside a bag of milk,https://www.mobygames.com/game/149982/milk-inside-a-bag-of-milk-inside-a-bag-of-milk/,2020
Don't Be Afraid,https://www.mobygames.com/game/148725/dont-be-afraid/,2020
The Red Lantern,https://www.mobygames.com/game/124061/the-red-lantern/,2020
