platform,moby_id,director,director_ID,producer,producer_ID,developer,developer_ID
Xbox Series,224313,Lara Derham,477204,,,,
Windows,224313,Lara Derham,477204,,,,
Windows,230777,Charles Cecil,6900,Noirin Carmody,6914,Robert Megone,403099
PlayStation 5,217251,Johan Pilestedt,463684,Denis Bender,1645147,Ashley Raynor,1645146
Nintendo Switch,174766,Fumie Tatematsu,1556765,Yoshiteru Sato,625654,,
Windows,141682,Jason Orbaum,1159267,Andy Murray,1159265,Michael Schauble,891005
Windows,162530,,,Chris Nguyen,1128061,,
Nintendo Switch,188012,Satoshi Tagiri,815140,Naofumi Matsushita,214700,Yuko Abiru,82634
PlayStation 5,236737,Kazutoshi Sekiguchi,559705,Masatomo Oba,580381,Hisamitsu Akaike,1162487
Windows,168138,Hiroto Niizato,206790,Taichiro Miyazaki,523491,Eri Karasawa,1061197
Nintendo Switch,186986,Yasuyuki Tsujino,182047,Yoshinori Koike,679855,Maurice Ossenbrink,619840
PlayStation 4,186986,Yasuyuki Tsujino,182047,Yoshinori Koike,679855,Maurice Ossenbrink,619840
Windows,246591,Ryan Alyea,687331,Nathan Cranford,1872448,,
Windows,208859,Steve Beran,3382,Graeme Bayless,1308,Thiago Gomes,568553
Windows,166086,Tony Bratton,4622,,,,
Windows,201161,Lynell Jinks,69894,Colin O'Hara,151157,Gregory A. Thomas,67342
Windows,179781,Eisuke Ogura,454739,Masato Horiuchi,986418,Eiichi Ikeda,227122
PlayStation 5,213874,Futoshi Kenmochi,1595078,Minoru Kidooka,222935,Ryohei Endo,439039
PlayStation 4,152464,Kazuyuki Yamai,280690,Masashi Yamada,1250649,Hiroshi Kadowaki,60133
Windows,233621,Liam Creighton,837856,Roberta Vaughn,1759873,Alexander Leps,933904
Nintendo Switch,214806,Tadanori Tsukawaki,352458,Takayuki Yoshino,380659,,
