moby_id,platform,Business Model,min_os,supported_system,min_ram,supported_drivers,media_type,gamepads_Supported
243161,Windows+,Commercial,Windows 10,x64 (64-bit),16 GB,Direct3D,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
190202,PlayStation 5+,Commercial,,,,,Download,DualSense Controller
229435,Windows+,Commercial,Windows 7,x64 (64-bit),8 GB,,Download,Xbox One/Series Wireless Controller
211718,Windows+,Commercial,Windows 7 with Cumulative Update,,,,,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
193748,Linux+,Commercial,,,8 GB,,Download,
193748,Macintosh+,Commercial,macOS 10.15 (Catalina),,8 GB,,Download,
193748,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,
191783,Macintosh+,Commercial,macOS 10.13 (High Sierra),x64 (64-bit),8 GB,,Download,
191783,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,
207696,Windows+,Commercial,Windows 10,x64 (64-bit),4 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
199652,Nintendo Switch+,Commercial,,,,,Download; Game Card,
199652,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
143045,Nintendo Switch+,Commercial,,,,,Download; Game Card,
143045,PlayStation 4+,Commercial,,,,,Blu-Ray Disc; Download,DualShock 4
143045,PlayStation 5+,Commercial,,,,,Blu-Ray Disc; Download,DualSense Controller
143045,Windows+,Commercial,Windows 7,,2 GB,,Download,
143045,Xbox One+,Commercial,,,,,Download,
143045,Xbox Series+,Commercial,,,,,Download,
204085,PlayStation 4+,Commercial,,,,,Download,
204085,PlayStation 5+,Commercial,,,,,Download,
204085,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,Direct3D,Download,
204085,Xbox One+,Commercial,,,,,Download,
204085,Xbox Series+,Commercial,,,,,Download,
207099,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,Direct3D; Vulkan,Download,
243602,Windows+,Commercial,Windows 10,x64 (64-bit),16 GB,Direct3D,Download,DualSense Controller; Xbox One/Series Wireless Controller
233313,Nintendo Switch+,Commercial,,,,,Download; Game Card,
233313,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
233313,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,DualShock 4; Xbox One/Series Wireless Controller
233313,Windows Apps+,Commercial,Windows 10,x64 (64-bit),,,,
233313,Xbox Series+,Commercial,,,,,Download,Xbox One/Series Wireless Controller
232002,Windows+,Commercial,Windows 7,x64 (64-bit),8 GB,,Download,Xbox One/Series Wireless Controller
168299,Nintendo Switch+,Commercial,,,,,Download; Game Card,
168299,PlayStation 4+,Commercial,,,,,Blu-Ray Disc; Download,DualShock 4
168299,Windows+,Commercial,Windows 10,x64 (64-bit),6 GB,,Download,
141439,PlayStation 4+,Commercial,,,,,Blu-Ray Disc; Download,DualShock 4
204724,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
204724,Windows+,Commercial,Windows 10,x64 (64-bit),16 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
204724,Xbox Series+,Commercial,,,,,Download,Xbox One/Series Wireless Controller
181834,PlayStation 4+,Commercial,,,,,Download,DualShock 4
181834,PlayStation 5+,Commercial,,,,,Download,DualSense Controller
181834,Windows Apps+,Commercial,Windows 10,x64 (64-bit),4 GB,,,
181834,Xbox One+,Commercial,,,,,Download,
181834,Xbox Series+,Commercial,,,,,Download,
246692,Windows+,Commercial,Windows 10,x64 (64-bit),12 GB,Direct3D,Download,DualSense Controller; Xbox One/Series Wireless Controller
172699,Nintendo Switch+,Commercial,,,,,Download,
161794,PlayStation 4+,Commercial,,,,,Blu-Ray Disc; Download,DualShock 4
161794,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,
161794,Xbox One+,Commercial,,,,,Blu-Ray Disc; Download,
161794,Xbox Series+,Commercial,,,,,Download,
248025,Windows+,Commercial,Windows 11,x64 (64-bit),16 GB,Direct3D,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
172770,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
161717,Android+,Freeware / Free-to-play / Public Domain,Android 8.0 (Oreo),,,,Download,
161717,Windows+,Commercial,Windows 7,,8 GB,,Download,
206244,Nintendo Switch+,Commercial,,,,,Download; Game Card,
232677,Windows+,Commercial,Windows 10,x64 (64-bit),,Pixel Shader 4.0; Vertex Shader 4.0,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
230077,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,DualShock 4; Xbox One/Series Wireless Controller
